记录类型,优先级,接入状态,模态大类,模态编码,能力类型,能力编码,输入模态,输入模态编码,输出模态,输出模态编码,供应商分类,供应商分类编码,供应商编码,供应商名称,厂商,协议族,协议适配器键,模型族键,模型族名称,模型名称或模式,示例模型,官网,控制台,文档地址,余额地址,价格地址,默认Base URL,默认Endpoint,HTTP方法,鉴权方式,API Key环境变量,额外鉴权字段,是否已有Worker支持,可复用级别,复用Client键,复用Handler键,复用持久化键,复用结果Schema键,复用前端渲染键,复用表单模板键,兼容供应商编码,共用请求参数,供应商特有参数,默认参数JSON,参数映射JSON,共用响应契约,供应商响应差异,结果资源类型,是否媒体落盘,媒体URL模式,计费方式,计费单位,币种,输入价每百万Token,输出价每百万Token,按次价格,按单位价格,免费额度,建议预估算力,算力倍率,BillableUnits来源,限流RPM,限流TPM,并发限制,默认超时秒,重试策略,是否支持幂等,是否需要文件上传,上传Endpoint,是否需要下载结果,安全与合规要点,后端Provider注册,后端模型配置,后端工具模板,后端结果Schema,Worker Registry,Worker Client文件,Worker Handler文件,Worker持久化文件,Worker路由规则,前端表单,前端结果渲染,测试命令,验收标准,已知风险,价格核对日期,最后验证日期,开发备注
模型族,P0,可配置接入,文本生成,text,文本生成,TEXT_GENERATION,文本,TEXT,文本,TEXT,协议复用,protocol,openai_compatible,OpenAI兼容,OpenAI/兼容厂商,openai_chat_completions,chat_completions_adapter,text_chat_openai_compatible,OpenAI兼容聊天模型,"gpt-*|deepseek-*|qwen-*|moonshot-*|glm-*","gpt-4o-mini; deepseek-chat; qwen-plus",https://openai.com,https://platform.openai.com,https://platform.openai.com/docs,https://platform.openai.com/settings/organization/billing/overview,https://openai.com/api/pricing,https://api.openai.com/v1,/chat/completions,POST,bearer,OPENAI_API_KEY,"",true,高复用,model_client_openai_compatible,text_task_handler,none,markdown_text_result,text_markdown_renderer,text_generation_default,"openai_compatible; deepseek_compatible; qwen_compatible; moonshot_compatible","model,messages,temperature,max_tokens,stream","top_p,presence_penalty,frequency_penalty,response_format,tools","{""temperature"":0.7}","{""prompt"":""messages[-1].content"",""maxTokens"":""max_tokens""}","返回文本内容；可带promptTokens/completionTokens","不同厂商usage字段和choices路径可能轻微不同",MARKDOWN,false,"",TOKEN_PER_M,tokens,USD,TODO,TODO,"","","",10,1,"promptTokens+completionTokens",TODO,TODO,TODO,60,"超时/网络错误重试1次；4xx不重试",false,false,"",false,"上线前核对目标地区、备案、内容安全策略",已存在,需要配置,通常不需要,不需要,通常不需要,worker/client/model_client.py,worker/handlers/text_task_handler.py,"",executionHandler=TEXT_GENERATION,text_generation_default,ResultRenderer文本/Markdown,"mvn test -Dtest=ModelProviderRegistryTest && python worker/scripts/run_real_model_handler_test.py","后台可配置模型；工具可绑定；任务成功或失败都能结算算力；Markdown正常渲染","价格、限流、上下文长度变化快",TODO,TODO,"同协议文本模型优先共用一套Client/Handler，只新增provider注册和模型配置"
模型族,P0,已有基础支持,文生图,image,图片生成,IMAGE_GENERATION,文本,TEXT,图片,IMAGE,协议或厂商复用,protocol,siliconflow_images,SiliconFlow图片,SiliconFlow,siliconflow_images,image_generation_adapter,text_to_image_common,通用文生图模型,"*-image*|flux*|sd*|kolors*|z-image*","Tongyi-MAI/Z-Image-Turbo; FLUX.1; Stable Diffusion",https://siliconflow.cn,https://cloud.siliconflow.cn,https://docs.siliconflow.cn,https://cloud.siliconflow.cn/account,https://siliconflow.cn/pricing,https://api.siliconflow.cn,/v1/images/generations,POST,bearer,SILICONFLOW_API_KEY,"",true,高复用,siliconflow_image_client,image_generation_handler,generated_image_persister,image_gallery_result,image_renderer,image_generation_default,"siliconflow_images; fal_images; replicate_images; stability_images","model,prompt,image_size,batch_size,negative_prompt,seed","guidance_scale,num_inference_steps,style,quality,response_format","{""image_size"":""1024x1024"",""batch_size"":1}","{""prompt"":""prompt"",""aspectRatio"":""image_size"",""count"":""batch_size""}","contentJson.images[]包含url/sourceUrl/width/height；resourceType=IMAGE","有的返回URL，有的返回base64，有的是异步jobId",IMAGE,true,/generated/images/{taskId}/image-{n}.png,PER_IMAGE,image,USD,"","",TODO,TODO,"",10,1,billableUnits,TODO,TODO,TODO,600,"Provider接受任务前可重试；已生成job后不能重复创建",false,false,"",true,"需要prompt安全审核、图片内容安全、版权与肖像权说明",已存在,需要配置,通常复用,可能需要扩展,已存在,worker/client/siliconflow_video_client.py,worker/handlers/image_generation_handler.py,worker/handlers/generated_image_persister.py,"executionHandler=IMAGE_GENERATION 或 toolType=IMAGE_GENERATION",image_generation_default,ResultRenderer图片画廊,python worker/scripts/run_fake_image_generation_test.py,"可提交prompt/count/aspectRatio；图片落盘；/generated可访问；billableUnits等于图片数；失败释放冻结算力","mark_processing失败时可能留下冻结算力，需后端超时对账兜底",TODO,TODO,"文生图模型最适合做可复用模型族；新增模型优先只补client adapter和response parser"
模型族,P1,待接入,图片编辑,image_edit,图片编辑,IMAGE_EDITING,图片+文本,IMAGE|TEXT,图片,IMAGE,模态扩展,modality,TODO,图片编辑供应商,TODO,image_editing,image_edit_adapter,image_edit_common,图生图/局部重绘/扩图模型,"*-edit*|inpaint*|outpaint*","gpt-image-edit; stable-diffusion-inpaint",TODO,TODO,TODO,TODO,TODO,TODO,TODO,POST,bearer,TODO,"",false,中复用,image_edit_client,image_generation_handler,generated_image_persister,image_gallery_result,image_renderer,image_editing_default,TODO,"model,prompt,input_image,mask_image,size","strength,seed,guidance_scale,background,quality","{""size"":""1024x1024""}","{""prompt"":""prompt"",""inputImage"":""input_image"",""maskImage"":""mask_image""}","contentJson.images[]返回编辑后图片；resourceType=IMAGE","通常需要上传图片、mask或base64输入",IMAGE,true,/generated/images/{taskId}/image-{n}.png,PER_IMAGE,image,USD,"","",TODO,TODO,"",15,1,billableUnits,TODO,TODO,TODO,600,"上传和生成分开重试；生成任务创建后不重复提交",false,true,TODO,true,"需要用户上传图片授权、肖像/商标/版权风控",新增,需要配置,新增或扩展,可能需要扩展,新增,worker/client/image_edit_client.py,worker/handlers/image_generation_handler.py,worker/handlers/generated_image_persister.py,executionHandler=IMAGE_GENERATION,image_editing_default,ResultRenderer图片画廊,TODO,"支持图片上传；mask可选；编辑结果落盘；失败释放冻结算力","不要直接混入纯文生图配置，参数和风控不同",TODO,TODO,"可复用图片持久化和结果渲染，但建议单独表单模板"
模型族,P1,可配置加少量适配,视觉理解,vision,视觉理解,VISION_ANALYSIS,图片+文本,IMAGE|TEXT,文本,TEXT,协议复用,protocol,openai_compatible,视觉Chat兼容,OpenAI兼容厂商,openai_chat_completions,vision_chat_adapter,vision_chat_common,图片理解/OCR/VQA模型,"*-vision*|gpt-4o*|qwen-vl*","gpt-4o; qwen-vl-plus",https://openai.com,https://platform.openai.com,https://platform.openai.com/docs,TODO,https://openai.com/api/pricing,https://api.openai.com/v1,/chat/completions,POST,bearer,OPENAI_API_KEY,"",true,中复用,model_client_openai_compatible,text_task_handler,none,markdown_text_result,text_markdown_renderer,vision_analysis_default,"openai_compatible; qwen_vl_compatible; glm_v_compatible","model,messages,image_url_or_base64,prompt","detail,max_tokens,temperature","{""detail"":""auto""}","{""prompt"":""messages[].text"",""imageUrl"":""messages[].image_url""}","返回文本答案；可选结构化JSON抽取","图片payload格式在各厂商差异明显",MARKDOWN,false,"",TOKEN_PER_M,tokens,USD,TODO,TODO,"","","",20,1,"image tokens + text tokens",TODO,TODO,TODO,120,"图片URL校验后再调用；超时/网络错误重试",false,true,TODO,false,"图片上传内容安全、隐私数据识别、OCR合规",通常已有,需要配置,新增或扩展,不需要,可能需要,worker/client/model_client.py,worker/handlers/text_task_handler.py,"",executionHandler=TEXT_GENERATION,vision_analysis_default,ResultRenderer文本/Markdown,TODO,"图片字段可提交；worker构造多模态messages；结果文本渲染","虽然输出是文本，但输入是图片，前端和文件处理要单独做",TODO,TODO,"视觉理解可复用文本模型调用，但不能只按TEXT_GENERATION粗暴归类"
模型族,P0,已有基础支持,语音合成,audio,文字转语音,TEXT_TO_SPEECH,文本,TEXT,音频,AUDIO,厂商适配,vendor,minimax_speech,MiniMax语音,MiniMax,minimax_tts_async,minimax_tts_adapter,tts_common,通用TTS模型,"speech-*|cosyvoice*|tts-*","speech-2.8-hd; FunAudioLLM/CosyVoice2-0.5B",https://www.minimaxi.com,https://platform.minimaxi.com,https://www.minimaxi.com/document,https://platform.minimaxi.com/user-center/basic-information,https://www.minimaxi.com/price,https://api.minimaxi.com,/v1/t2a_async_v2,POST,bearer,MINIMAX_API_KEY,group_id=MINIMAX_GROUP_ID,true,中高复用,text_to_speech_client,text_to_speech_handler,generated_audio_persister,audio_result,audio_renderer,tts_default,"minimax_speech; siliconflow_speech","model,text,voice,format","speed,volume,pitch,language,sample_rate,bitrate,emotion","{""format"":""mp3""}","{""text"":""text"",""voice"":""voice_id"",""format"":""format""}","contentJson.audios[]包含url/contentType/duration；resourceType=AUDIO","同步/异步、voiceId、返回音频字段差异较大",AUDIO,true,/generated/audio/{taskId}/audio-{n}.mp3,PER_CHARACTER_OR_CALL,character_or_call,USD,"","",TODO,TODO,"",5,1,"1 或 字符数",TODO,TODO,TODO,300,"异步Provider轮询；create成功后只重试poll",false,false,"",true,"声音授权、文本安全、音频内容审核",已存在,需要配置,通常复用,可能需要扩展,已存在,worker/client/text_to_speech_client.py,worker/handlers/text_to_speech_handler.py,worker/handlers/generated_audio_persister.py,"executionHandler=TEXT_TO_SPEECH 或 toolType=TEXT_TO_SPEECH",tts_default,ResultRenderer音频播放器,"python -m unittest discover -s worker/tests -p '*text_to_speech*'","音频落盘；浏览器可播放；Provider错误回写FAILED并释放算力","不同厂商异步流程差异大，client里要保持清晰分支",TODO,TODO,"TTS可以共享handler，但client内部按provider分支"
模型族,P1,待接入,音乐生成,audio,音乐生成,MUSIC_GENERATION,文本/参考音频,TEXT|AUDIO,音频,AUDIO,厂商适配,vendor,minimax_music,MiniMax音乐,MiniMax,minimax_music,minimax_music_adapter,music_generation_common,音乐生成模型,"music-*|song-*","music-2.6-free",https://www.minimaxi.com,https://platform.minimaxi.com,https://www.minimaxi.com/document,https://platform.minimaxi.com/user-center/basic-information,https://www.minimaxi.com/price,https://api.minimaxi.com,/v1/music_generation,POST,bearer,MINIMAX_API_KEY,group_id=MINIMAX_GROUP_ID,false,低复用,music_generation_client,music_generation_handler,generated_audio_persister,music_result,audio_metadata_renderer,music_generation_default,"minimax_music; suno_compatible; udio_compatible","model,prompt","lyrics,genre,mood,duration,reference_audio,vocal_only,format","{""duration"":60,""format"":""mp3""}","{""prompt"":""prompt"",""lyrics"":""lyrics"",""style"":""genre""}","contentJson.tracks[]包含url/lyrics/duration/coverUrl；resourceType=AUDIO","版权信息、歌词、异步状态差异大",AUDIO,true,/generated/audio/{taskId}/music-{n}.mp3,PER_TRACK,track,USD,"","",TODO,TODO,"",20,1,billableUnits,TODO,TODO,TODO,600,"异步create+poll；不要重复create",false,true,TODO,true,"歌词版权、曲风版权、商用授权必须单独标注",新增,需要配置,新增,新增,新增,worker/client/music_generation_client.py,worker/handlers/music_generation_handler.py,worker/handlers/generated_audio_persister.py,executionHandler=MUSIC_GENERATION,music_generation_default,音频播放器+音乐元数据,TODO,"音乐结果可播放；歌词/元数据展示；失败释放算力","不要和TTS混在一个ToolType，业务语义不同",TODO,TODO,"同为音频输出，但音乐生成应独立ToolType/Handler"
模型族,P0,已有部分支持,视频生成,video,视频生成,VIDEO_GENERATION,文本/图片,TEXT|IMAGE,视频,VIDEO,厂商适配,vendor,seedance,Seedance视频,火山引擎/字节,seedance_video,seedance_video_adapter,video_generation_common,文生视频/图生视频模型,"seedance*|video-*|wan*|kling*","doubao-seedance-1-5-pro-251215; Kling; Wan",https://www.volcengine.com,https://console.volcengine.com,https://www.volcengine.com/docs,https://console.volcengine.com/finance/bill,https://www.volcengine.com/pricing,https://ark.cn-beijing.volces.com,TODO,POST,bearer,ARK_API_KEY,"",true,中复用,seedance_video_client,video_generation_handler,generated_video_persister,video_result,video_renderer,video_generation_default,"seedance; kling_video; wan_video; runway_video","model,prompt,duration,ratio","image_url,resolution,camera_fixed,seed,fps,negative_prompt","{""duration"":5,""ratio"":""16:9""}","{""prompt"":""prompt"",""referenceImage"":""image_url"",""aspectRatio"":""ratio""}","contentJson.videos[]包含url/coverUrl/duration；resourceType=VIDEO","通常异步，状态枚举差异较大",VIDEO,true,/generated/video/{taskId}/video-{n}.mp4,PER_VIDEO_OR_SECOND,video_or_second,USD,"","",TODO,TODO,"",50,1,"视频数或秒数",TODO,TODO,TODO,900,"轮询异步任务；只重试poll；不要重复生成",false,true,TODO,true,"视频内容安全、素材授权、长任务超时兜底",已存在,需要配置,通常复用,可能需要扩展,已存在,worker/client/seedance_video_client.py,worker/handlers/video_generation_handler.py,TODO,"executionHandler=VIDEO_GENERATION 或 DIGITAL_HUMAN",video_generation_default,ResultRenderer视频播放器,python worker/scripts/run_fake_digital_human_video_test.py,"视频落盘；播放器可看；超时/失败能释放算力；进度清晰","长任务必须有超时对账，否则冻结算力风险高",TODO,TODO,"视频Handler可复用，但Provider轮询和结果解析差异比文生图更大"
组合管线,P0,已有部分支持,数字人,digital_human,数字人,DIGITAL_HUMAN,文本+图片+音频,TEXT|IMAGE|AUDIO,视频,VIDEO,组合管线,pipeline,multi_provider,数字人组合管线,多供应商,pipeline,digital_human_pipeline,digital_human_common,数字人生成管线,digital_human*,"图片模型 + TTS模型 + 视频模型",TODO,TODO,TODO,TODO,TODO,TODO,TODO,POST,mixed,MULTI_PROVIDER_KEYS,"siliconflow/minimax/seedance keys",true,中复用,multiple_clients,digital_human_video_handler,generated_video_persister,digital_human_result,video_renderer,digital_human_default,"siliconflow_images; minimax_speech; siliconflow_speech; seedance","script,avatar,voice,background","reference_image,voice_id,subtitle,aspect_ratio,duration","{}","{""script"":""text"",""avatar"":""reference_image"",""voice"":""voice_id""}","contentJson.videos[] + intermediateAssets；resourceType=VIDEO","多阶段部分失败、部分产物需要清理或复用",VIDEO,true,/generated/video/{taskId}/video-{n}.mp4,PER_PIPELINE,pipeline,USD,"","",TODO,TODO,"",80,1,"最终视频数或套餐单位",TODO,TODO,TODO,1200,"分阶段checkpoint；只重试安全阶段",false,true,TODO,true,"形象授权、声音授权、脚本内容安全、视频合规",部分已有,需要配置,通常复用,可能需要扩展,已存在,multiple,worker/handlers/digital_human_video_handler.py,generated_video_persister.py,executionHandler=DIGITAL_HUMAN,digital_human_default,ResultRenderer视频播放器,python worker/scripts/run_fake_digital_human_video_test.py,"每个阶段有进度；最终视频可播放；任意失败释放冻结算力","组合链路计费和冻结释放更复杂，需要事务/对账兜底",TODO,TODO,"组合型模态不要只按单个供应商维护，要记录依赖模型族和阶段"
具体模型,P0,已有基础支持,文生图,image,图片生成,IMAGE_GENERATION,文本,TEXT,图片,IMAGE,厂商适配,vendor,siliconflow_images,SiliconFlow图片,SiliconFlow,siliconflow_images,image_generation_adapter,text_to_image_common,Z-Image系列,Tongyi-MAI/Z-Image-Turbo,Tongyi-MAI/Z-Image-Turbo,https://siliconflow.cn,https://cloud.siliconflow.cn,https://docs.siliconflow.cn,https://cloud.siliconflow.cn/account,https://siliconflow.cn/pricing,https://api.siliconflow.cn,/v1/images/generations,POST,bearer,SILICONFLOW_API_KEY,"",true,高复用,siliconflow_image_client,image_generation_handler,generated_image_persister,image_gallery_result,image_renderer,image_generation_default,siliconflow_images,"model,prompt,image_size,batch_size","negative_prompt,seed,guidance_scale,num_inference_steps","{""image_size"":""1024x1024"",""batch_size"":1}","{""count"":""batch_size"",""aspectRatio"":""image_size""}","返回图片URL数组并落盘","按SiliconFlow响应解析",IMAGE,true,/generated/images/{taskId}/image-{n}.png,PER_IMAGE,image,USD,"","",TODO,TODO,"",10,1,billableUnits,TODO,TODO,TODO,600,"同文生图模型族策略",false,false,"",true,"同文生图安全要求",已存在,需要配置,通常复用,不需要,已存在,worker/client/siliconflow_video_client.py,worker/handlers/image_generation_handler.py,worker/handlers/generated_image_persister.py,executionHandler=IMAGE_GENERATION,image_generation_default,ResultRenderer图片画廊,python worker/scripts/run_fake_image_generation_test.py,"当前项目生图链路可跑通假测试","价格和限流待核对；冻结释放需要后端兜底",TODO,TODO,"这是具体模型行；接新文生图模型时复制这一类行"
模型族,P0,已接入骨架,可灵视频/图片,kling,视频/图片生成,VIDEO_GENERATION|IMAGE_GENERATION,文本/图片,TEXT|IMAGE,视频/图片,VIDEO|IMAGE,厂商官方,vendor,kling_video,快手可灵,快手,kling_video,kling_video_adapter,kling_video_common,可灵视频/图片官方模型,"kling-v2-6|kling-v3*|kling-video-o1","kling-v2-6; kling-v3; kling-v3-omni",https://klingai.com,https://klingai.com,https://klingai.com/document-api/apiReference/model/,TODO,https://klingai.com,https://api-beijing.klingai.com,/v1/videos/image2video,POST,jwt_hs256,extraAuthJson,"{""accessKey"":""..."",""secretKey"":""...""}",true,中复用,kling_video_client,video_generation_handler|image_generation_handler,generated_video_persister|generated_image_persister,video_result|image_gallery_result,video_renderer|image_renderer,video_generation_default|image_generation_default,kling_video,"model_name,prompt,duration,mode","image,image_tail,negative_prompt,seed,resolution,sound,callback_url,external_task_id","{""duration"":""5"",""mode"":""pro"",""sound"":""off""}","{""prompt"":""prompt"",""imageUrl"":""image"",""imageTail"":""image_tail""}","视频：POST /v1/videos/image2video创建任务；Worker生成JWT鉴权并轮询任务结果；图片：POST /v1/images/generations后解析图片URL","以官方curl为准：字段使用model_name/image/image_tail；后台通过extraAuthJson配置AK/SK",VIDEO|IMAGE,true,/generated/video/{taskId}/video-{n}.mp4|/generated/images/{taskId}/image-{n}.png,PER_CALL|PER_IMAGE,task_or_image,USD,"","",TODO,TODO,"",50,1,billableUnits,TODO,TODO,TODO,900,"任务创建后只轮询，不重复创建；超时失败释放算力",false,true,TODO,true,"视频/图片内容安全、素材授权、肖像权和商用范围需核对",已新增,需要配置,通常复用,可能需要扩展,已新增,worker/client/kling_video_client.py,worker/handlers/video_generation_handler.py|worker/handlers/image_generation_handler.py,worker/handlers/generated_video_persister.py|worker/handlers/generated_image_persister.py,executionHandler=VIDEO_GENERATION或IMAGE_GENERATION,video_generation_default|image_generation_default,ResultRenderer视频/图片,python worker/scripts/run_fake_kling_integration_test.py,"后台可配置kling_video；额外鉴权JSON支持AK/SK；视频和图片假测试通过；真实API需填Base URL和extraAuthJson后烟测","真实模型价格、状态轮询路径和图片接口字段仍需以可灵控制台当前文档核对",2026-05-21,2026-05-21,"已按官方AK/SK和image2video curl优化接入骨架"
